"","id","idU","idf"
"1",1,758,540
"2",2,274,269
"3",3,18,221
"4",4,69,315
"5",5,259,831
"6",6,763,793
"7",7,199,235
"8",8,933,420
"9",9,841,413
"10",10,368,585
"11",11,721,815
"12",12,814,708
"13",13,784,82
"14",14,17,512
"15",15,626,96
"16",16,594,836
"17",17,176,716
"18",18,154,240
"19",19,64,86
"20",20,941,435
"21",21,211,662
"22",22,371,159
"23",23,553,970
"24",24,495,427
"25",25,2,928
"26",26,535,644
"27",27,383,783
"28",28,66,387
"29",29,852,489
"30",30,951,72
"31",31,502,894
"32",32,774,908
"33",33,426,767
"34",34,720,597
"35",35,98,564
"36",36,256,288
"37",37,455,778
"38",38,886,682
"39",39,625,263
"40",40,184,407
"41",41,768,254
"42",42,3,973
"43",43,509,705
"44",44,709,37
"45",45,182,832
"46",46,393,823
"47",47,718,624
"48",48,208,763
"49",49,53,406
"50",50,418,244
"51",51,562,231
"52",52,733,125
"53",53,467,977
"54",54,799,499
"55",55,141,546
"56",56,679,16
"57",57,442,919
"58",58,255,762
"59",59,508,787
"60",60,332,126
"61",61,128,59
"62",62,915,213
"63",63,588,965
"64",64,372,83
"65",65,940,31
"66",66,817,7
"67",67,132,481
"68",68,422,746
"69",69,153,325
"70",70,89,764
"71",71,312,438
"72",72,84,179
"73",73,115,344
"74",74,560,936
"75",75,788,623
"76",76,158,331
"77",77,897,317
"78",78,376,533
"79",79,419,891
"80",80,187,701
"81",81,420,613
"82",82,665,769
"83",83,983,124
"84",84,305,800
"85",85,23,238
"86",86,531,511
"87",87,922,20
"88",88,688,458
"89",89,155,864
"90",90,461,364
"91",91,125,628
"92",92,75,97
"93",93,61,52
"94",94,602,531
"95",95,513,544
"96",96,843,737
"97",97,885,301
"98",98,687,754
"99",99,240,924
"100",100,117,604
"101",101,295,676
"102",102,476,90
"103",103,792,349
"104",104,499,28
"105",105,261,328
"106",106,722,658
"107",107,703,902
"108",108,600,976
"109",109,943,785
"110",110,848,664
"111",111,752,309
"112",112,481,273
"113",113,325,802
"114",114,575,636
"115",115,225,41
"116",116,485,931
"117",117,640,294
"118",118,997,369
"119",119,548,854
"120",120,151,506
"121",121,864,480
"122",122,691,910
"123",123,293,136
"124",124,108,454
"125",125,617,942
"126",126,898,312
"127",127,241,681
"128",128,264,346
"129",129,861,170
"130",130,307,773
"131",131,872,527
"132",132,119,953
"133",133,662,841
"134",134,385,519
"135",135,912,100
"136",136,738,455
"137",137,824,547
"138",138,728,357
"139",139,62,986
"140",140,110,428
"141",141,500,55
"142",142,779,907
"143",143,436,376
"144",144,231,550
"145",145,523,494
"146",146,787,732
"147",147,755,109
"148",148,363,756
"149",149,978,629
"150",150,473,745
"151",151,38,995
"152",152,985,152
"153",153,414,157
"154",154,895,394
"155",155,639,275
"156",156,396,872
"157",157,550,984
"158",158,634,486
"159",159,503,961
"160",160,742,921
"161",161,674,691
"162",162,186,253
"163",163,963,646
"164",164,45,334
"165",165,681,193
"166",166,913,880
"167",167,492,383
"168",168,711,464
"169",169,684,817
"170",170,180,987
"171",171,907,80
"172",172,504,388
"173",173,866,385
"174",174,402,529
"175",175,759,577
"176",176,43,538
"177",177,630,572
"178",178,391,810
"179",179,355,892
"180",180,642,904
"181",181,8,576
"182",182,220,374
"183",183,327,827
"184",184,914,359
"185",185,479,201
"186",186,566,358
"187",187,424,526
"188",188,352,964
"189",189,421,675
"190",190,437,67
"191",191,491,861
"192",192,522,232
"193",193,605,537
"194",194,706,835
"195",195,70,491
"196",196,401,723
"197",197,356,514
"198",198,845,434
"199",199,807,860
"200",200,195,229
"201",201,228,709
"202",202,321,918
"203",203,480,422
"204",204,819,106
"205",205,449,389
"206",206,969,685
"207",207,320,840
"208",208,704,204
"209",209,927,939
"210",210,77,465
"211",211,657,515
"212",212,150,262
"213",213,82,935
"214",214,78,573
"215",215,931,803
"216",216,358,352
"217",217,892,123
"218",218,163,102
"219",219,148,700
"220",220,995,367
"221",221,948,425
"222",222,218,679
"223",223,54,165
"224",224,632,196
"225",225,301,202
"226",226,831,680
"227",227,880,758
"228",228,650,430
"229",229,701,292
"230",230,719,461
"231",231,977,811
"232",232,181,960
"233",233,982,611
"234",234,838,326
"235",235,909,495
"236",236,322,433
"237",237,689,131
"238",238,106,450
"239",239,300,303
"240",240,592,483
"241",241,953,525
"242",242,246,2
"243",243,131,736
"244",244,335,760
"245",245,671,989
"246",246,823,885
"247",247,121,988
"248",248,244,299
"249",249,57,160
"250",250,232,966
"251",251,85,249
"252",252,175,168
"253",253,603,869
"254",254,58,584
"255",255,653,733
"256",256,410,707
"257",257,333,289
"258",258,695,447
"259",259,660,69
"260",260,93,759
"261",261,337,562
"262",262,236,250
"263",263,856,226
"264",264,986,634
"265",265,952,25
"266",266,238,837
"267",267,433,728
"268",268,947,630
"269",269,564,91
"270",270,412,93
"271",271,527,411
"272",272,435,812
"273",273,170,223
